City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,Salalah,17.0151,54.0924,26.44,89,77,2.86,OM,1662997886
292,Mariental,-24.6333,17.9667,23.93,12,22,7.29,NA,1662997888
293,Olafsvik,64.8945,-23.7142,10.07,88,86,7.0,IS,1662997888
294,Rumoi,43.9344,141.6428,18.55,88,100,2.86,JP,1662997738
295,Karratha,-20.7377,116.8463,21.42,67,0,3.46,AU,1662997889
296,Pedro Juan Caballero,-22.5472,-55.7333,22.98,68,75,2.06,PY,1662997889
297,Omsukchan,62.5333,155.8,2.51,98,100,2.1,RU,1662997890
298,Msanga,-6.05,36.0333,24.24,46,59,5.56,TZ,1662997890
299,Ketchikan,55.3422,-131.6461,11.26,87,0,2.57,US,1662997890
300,Kirovskiy,45.0917,133.5136,15.75,96,74,2.3,RU,1662997890
301,Örnsköldsvik,63.2909,18.7153,13.53,76,75,3.09,SE,1662997893
302,Pachelma,53.2443,43.3521,13.66,45,98,4.25,RU,1662997893
303,Mehamn,71.0357,27.8492,5.95,81,75,3.09,NO,1662997893
304,Povenets,62.8487,34.8262,12.73,66,100,2.95,RU,1662997894
305,Bemidji,47.4736,-94.8803,20.87,52,0,4.12,US,1662997894
306,Margate,51.3813,1.3862,24.93,67,92,1.34,GB,1662997895
307,Tateyama,34.9833,139.8667,24.96,83,75,2.57,JP,1662997633
308,Ambon City,-3.6954,128.1814,25.69,15,40,3.09,ID,1662997821
309,Bengkulu,-3.8004,102.2655,25.03,84,87,0.44,ID,1662997818
310,Foumban,5.7291,10.9001,20.51,86,89,1.68,CM,1662997618
311,Amahai,-3.3333,128.9167,24.9,88,59,1.63,ID,1662997897
312,Cascais,38.6979,-9.4215,22.64,88,75,12.96,PT,1662997897
313,Coyhaique,-45.5752,-72.0662,9.34,76,75,2.06,CL,1662997899
314,Samarai,-10.6167,150.6667,26.52,82,13,3.43,PG,1662997899
315,Barabinsk,55.3571,78.357,4.96,59,43,2.19,RU,1662997899
316,Namatanai,-3.6667,152.4333,25.22,74,39,3.31,PG,1662997901
317,Tonj,7.2737,28.6822,23.72,90,79,2.29,SS,1662997740
318,Jasper,37.2001,-94.3502,23.89,49,0,0.89,US,1662997902
319,Jaciara,-15.9653,-54.9683,38.49,13,14,2.17,BR,1662997903
320,Marsá Maţrūḩ,31.3525,27.2453,28.11,69,40,7.72,EG,1662997904
321,Ternate,0.8,127.4,26.64,80,98,1.45,ID,1662997904
322,Três Lagoas,-20.7511,-51.6783,36.13,23,12,2.26,BR,1662997905
323,Chumikan,54.7183,135.315,7.16,89,100,2.23,RU,1662997906
324,Progreso,21.2833,-89.6667,28.06,63,100,2.09,MX,1662997906
325,Sungai Penuh,-2.0833,101.3833,18.75,97,97,0.33,ID,1662997906
326,Homer,59.6425,-151.5483,11.56,82,100,2.68,US,1662997907
327,Pucara,-15.9803,-71.4606,6.07,12,53,4.01,PE,1662997908
328,La Ronge,55.1001,-105.2842,13.14,44,20,3.6,CA,1662997910
329,Avera,33.194,-82.5271,28.08,61,2,2.7,US,1662997910
330,Walvis Bay,-22.9575,14.5053,18.53,59,0,3.6,NA,1662997726
331,Aitape,-3.1374,142.3475,25.06,89,92,3.27,PG,1662997912
332,Helena,46.5927,-112.0361,15.55,41,0,1.54,US,1662997912
333,Poronaysk,49.2167,143.1167,13.37,93,100,0.89,RU,1662997913
334,Sulangan,11.1373,123.7228,29.04,73,34,3.36,PH,1662997913
335,Safakulevo,54.9901,62.5442,9.2,74,100,0.5,RU,1662997913
336,Yeppoon,-23.1333,150.7333,15.88,80,26,1.91,AU,1662997913
337,Caravelas,-17.7125,-39.2481,26.7,48,6,3.7,BR,1662997914
338,Tiznit Province,29.5833,-9.5,28.68,40,100,4.06,MA,1662997915
339,Caluquembe,-13.7833,14.6833,29.11,12,36,2.77,AO,1662997916
340,Kruisfontein,-34.0033,24.7314,14.38,67,0,6.53,ZA,1662997739
341,Botshabelo,-29.2702,26.7052,20.65,16,46,4.35,ZA,1662997917
342,Shunde,22.8504,113.247,31.12,48,5,1.29,CN,1662997917
343,Mahibadhoo,3.7833,72.9667,27.25,79,14,3.24,MV,1662997918
344,Portobelo,9.55,-79.65,29.98,72,87,1.52,PA,1662997918
345,Santa Maria,-29.6842,-53.8069,17.61,68,0,2.57,BR,1662997919
346,Ballinrobe,53.6333,-9.2333,16.34,69,92,5.31,IE,1662997919
347,Klaksvík,62.2266,-6.589,11.51,97,84,7.67,FO,1662997920
348,Petropavlovsk-Kamchatskiy,53.0452,158.6483,8.33,76,0,3.0,RU,1662997760
349,Gwanda,-20.9333,29.0,27.22,16,0,7.35,ZW,1662997920
350,Indiana,40.0003,-86.2503,19.32,71,100,3.6,US,1662997921
351,Chokurdakh,70.6333,147.9167,3.52,93,100,3.93,RU,1662997921
352,Ciudad Guayana,8.3533,-62.6528,33.48,42,73,2.07,VE,1662997922
353,Nyurba,63.2842,118.3319,6.46,82,100,2.04,RU,1662997922
